age,sex,life remaining
66y,male,"11 years, 11 months, 19 days"
66y,female,"12 years, 10 months, 6 days"
67y,male,"11 years, 4 months, 21 days"
67y,female,"12 years, 2 months, 20 days"
68y,male,"10 years, 9 months, 28 days"
68y,female,"11 years, 7 months, 10 days"
69y,male,"10 years, 3 months, 11 days"
69y,female,"11 years, 0 months, 7 days"
70y,male,"9 years, 9 months, 0 days"
70y,female,"10 years, 5 months, 12 days"
71y,male,"9 years, 2 months, 26 days"
71y,female,"9 years, 10 months, 24 days"
72y,male,"8 years, 8 months, 28 days"
72y,female,"9 years, 4 months, 13 days"
73y,male,"8 years, 3 months, 6 days"
73y,female,"8 years, 10 months, 10 days"
74y,male,"7 years, 9 months, 22 days"
74y,female,"8 years, 4 months, 14 days"
75y,male,"7 years, 4 months, 14 days"
75y,female,"7 years, 10 months, 25 days"
76y,male,"6 years, 11 months, 14 days"
76y,female,"7 years, 5 months, 14 days"
77y,male,"6 years, 6 months, 21 days"
77y,female,"7 years, 0 months, 9 days"
78y,male,"6 years, 2 months, 4 days"
78y,female,"6 years, 7 months, 12 days"
79y,male,"5 years, 9 months, 25 days"
79y,female,"6 years, 2 months, 23 days"
80y,male,"5 years, 5 months, 23 days"
80y,female,"5 years, 10 months, 10 days"
